URL,Product,ProductCode,PriceIncVAT,PriceExcVAT,SalesUnit,Manufacturer,SellingUnitDesc
https://www.grantandstone.co.uk/x-metre-50mm-black-ridgicoil-underground-duct-ductrc5050be,50Mm Black Ridgicoil Underground Duct - Sold per metre,DUCTRC5050BE,£232.97,£194.14,Sold by / EA,Bradstone,Each
https://www.grantandstone.co.uk/polystorm-cell-1000x500x400-black-recycled-plastic-pppsm1a,Polystorm Cell Soakaway 1000mm x 500mm x 400mm - Black Recycled Plastic,PPPSM1A,£74.10,£61.75,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-320mmx135mm-access-chamber-side-riser-c-w-seal-ppuug466,Underground Access Chamber Side Riser 320mm x 135mm  - includes seal,PPUUG466,£27.58,£22.98,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-460mm-x-215mm-inspection-chamber-side-riser-undergroundug431-ppuug431,Underground Inspection Chamber Side Riser 460mm X 215mm,PPUUG431,£39.95,£33.29,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/aco-1m-black-plastic-channel-includes-plastic-grating-81602832,Aco 1m Black Plastic Channel - Includes Plastic Grating,81602832,£17.60,£14.67,Sold by / EA,Aco Technologies,Each
https://www.grantandstone.co.uk/polypipe-110mm-3mtr-underground-plain-ended-pipe-underground-ug430-ppuug430,Underground Plain Ended Pipe 110mm x 3.0m,PPUUG430,£26.56,£22.13,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/hexdrain-1m-black-plastic-channel-includes-plastic-grating-clchexdrain,Hexdrain 1m Black Plastic Channel Includes Plastic Grating,CLCHEXDRAIN,£16.66,£13.88,Sold by / EA,Aco Polymer Ltd,Each
https://www.grantandstone.co.uk/polypipe-6mtr-110mm-underground-plain-ended-pipe-undeground-ug460-ppuug460,Underground Plain Ended Pipe 110mm x 6.0m,PPUUG460,£48.05,£40.04,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-110mm-45deg-double-socket-bend-underground-ug403-ppuug403,Underground 87.5Deg Double Socket Bend 110mm,PPUUG403,£22.68,£18.90,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-110mm-87-5deg-double-socket-bend-underground-ug411-ppuug411,Underground 45Deg Double Socket Bend 110mm,PPUUG411,£11.53,£9.61,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-110mm-pipe-coupling-double-socket-underground-ug402-ppuug402,Underground Pipe Coupling Double Socket 110mm,PPUUG402,£6.55,£5.46,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/aco-ground-guard-tile-585mm-x-385mm-81070-clcgroundguard,ACO Ground Guard Tile - 585mm x 385mm 81070,CLCGROUNDGUARD,£7.66,£6.38,Sold by / EA,Aco Technologies,Each
https://www.grantandstone.co.uk/polypipe-double-socket-110mm-underground-slip-coupler-ug400-ppuug400,Double Socket 110mm Underground Slip Coupler,PPUUG400,£6.76,£5.63,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-68mm-round-downpipe-bend-112-5deg-black-rr127-pprrr127blk,68mm Round Downpipe Bend 112.5Deg 68mm - Black,PPRRR127BLK,£8.54,£7.12,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-68mm-round-downpipe-bracket-black-pprrr126blk,Round Downpipe Bracket 689mm - Black,PPRRR126BLK,£4.03,£3.36,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/polypipe-112mm-gutter-fascia-bracket-black-rr109-pprrr109blk,Gutter Fascia Bracket 112mm - Black,PPRRR109BLK,£2.86,£2.38,Sold by / EA,Polypipe,Each
https://www.grantandstone.co.uk/1m-polymer-conc-channel-includes-galvd-grate-1-5-tonne-clcraindrchan,Polymer Concrete Channel 1m - Includes Galvanised Grate - 1.5 Tonne,CLCRAINDRCHAN,£22.16,£18.47,Sold by / EA,Aco Technologies,Each
https://www.grantandstone.co.uk/hexdrain-1m-brickslot-black-plastic-channel-clchexbricksl,Hexdrain 1m Brickslot Black Plastic Channel,CLCHEXBRICKSL,£22.04,£18.37,Sold by / EA,Aco Technologies,Each
